codigo_cliente,razon_social,ruc,ciudad,telefono,email,limite_credito,estado
CLI00563,Abarrotes Los Cedros S.A.,20500546116,Puno,+51 973256367,abarrotes563@correo.pe,3000,ACTIVO
CLI00033,Abarrotes Villa Norte S.A.,20500032015,Iquitos,0924488220,abarrotes33@correo.pe,3000,ACTIVO
CLI00112,Bodega Villa Norte,20500108640,Tarapoto,992671299,bodega112@correo.pe,1500,ACTIVO
CLI00178,Almacenes Buen Precio E.I.R.L.,20500172666,Tarapoto,+51 955653827,almacenes178@correo.pe,3000,ACTIVO
CLI00418,Market Santa Rosa S.A.C.,20500405466,Huancayo,935932411,market418@correo.pe,5000,ACTIVO
CLI00194,Negocios Puerto Nuevo,20500188180,Tacna,0965578208,negocios194@correo.pe,0,ACTIVO
CLI00334,Abarrotes Río Verde S.A.,20500323982,Cusco,954302782,abarrotes334@correo.pe,25000,ACTIVO
CLI90006,Mayorista Las Palmeras S.A.C.,20500041715,Piura,0944365408,mayorista43@correo.pe,0,ACTIVO
CLI00151,Negocios Vista Alegre S.A.,20500146479,Iquitos,+51 950196661,,0,ACTIVO
CLI00224,Negocios Buen Precio S.A.,20500217287,Lima,966958792,negocios224@correo.pe,1500,ACTIVO
CLI00538,Comercial La Merced E.I.R.L.,20500521865,Tarapoto,+51 967096708,comercial538@correo.pe,10000,INACTIVO
CLI00326,Comercial San Isidro E.I.R.L.,20500316226,Piura,969613237,comercial326@correo.pe,5000,ACTIVO
CLI00314,Inversiones Las Palmeras,20500304589,Ica,956804631,inversiones314@correo.pe,0,ACTIVO
CLI00055,Negocios Río Verde,20500053357,Huancayo,+51 985780740,negocios55@correo.pe,S/ 3.000,ACTIVO
CLI00180,Distribuidora San Martín S.A.,20500174600,Puno,964154676,distribuidora180@correo.pe,25000,INACTIVO
CLI00226,Distribuidora El Progreso S.A.,20500219221,Ica,+51 968746602,distribuidora226@correo.pe,3000,ACTIVO
CLI00071,Tiendas Los Cedros E.I.R.L.,20500068877,Chiclayo,+51 975336401,tiendas71@correo.pe,3000,ACTIVO
CLI00292,Almacenes Casa Grande S.A.,20500283247,Lima,991618244,,25000,ACTIVO
CLI00283,Autoservicio Río Verde S.A.,20500274515,Puno,+51 922330545,autoservicio283@correo.pe,0,ACTIVO
CLI00531,Negocios La Colina S.A.C.,20500515075,Huancayo,0967207565,negocios531@correo.pe,0,ACTIVO
CLI00095,Tiendas San Martín S.A.,20500092158,Ica,0954599229,tiendas95@correo.pe,3000,INACTIVO
CLI00256,Minimarket Santa Rosa,20500248328,Cajamarca,0989215862,minimarket256@correo.pe,1500,ACTIVO
CLI00127,Minimarket Vista Alegre E.I.R.L.,20500123193,Trujillo,0926758096,minimarket127@correo.pe,3000,ACTIVO
CLI00363,Mayorista Vista Alegre S.R.L.,20500352117,Tacna,992758681,mayorista363@correo.pe,0,ACTIVO
CLI00556,Minimarket San Martín S.R.L.,20500539322,Piura,953136502,minimarket556@correo.pe,25000,ACTIVO
CLI00208,Almacenes San Martín S.A.,20500201763,Tarapoto,0968597621,almacenes208@correo.pe,3000,ACTIVO
CLI00012,Tiendas Río Verde,20500011646,Tacna,958125246,tiendas12@correo.pe,S/ 3.000,INACTIVO
CLI00490,Importadora La Merced,20500475308,Arequipa,978153201,importadora490@correo.pe,0,ACTIVO
CLI00346,Distribuidora Vista Alegre S.A.,20500335620,Cajamarca,+51 906507542,distribuidora346@correo.pe,3000,INACTIVO
CLI00230,Inversiones Villa Norte S.A.C.,20500223104,Huancayo,930844858,inversiones230@correo.pe,0,ACTIVO
CLI00252,Market Los Cedros S.A.C.,20500244446,Cajamarca,0928354028,market252@correo.pe,10000,INACTIVO
CLI00264,Almacenes Campo Alegre E.I.R.L.,20500256088,Huancayo,0964981679,almacenes264@correo.pe,0,ACTIVO
CLI00504,Abarrotes Río Verde,20500488884,Ayacucho,+51 918438549,,5000,ACTIVO
CLI00225,Market Vista Alegre E.I.R.L.,20500218259,Puno,0909065327,market225@correo.pe,1500,ACTIVO
CLI00021,Market Río Verde S.R.L.,20500020378,Arequipa,989731916,market21@correo.pe,1500,ACTIVO
CLI00172,Supermercados Los Cedros S.A.C.,20500166844,Cusco,+51 907740289,,1500,INACTIVO
CLI00440,Negocios La Merced S.A.C.,20500426803,Juliaca,+51 991026540,,25000,INACTIVO
CLI00039,Distribuidora Los Andes S.A.C.,20500037831,Cusco,+51 941596580,distribuidora39@correo.pe,25000,ACTIVO
CLI00210,Tiendas El Progreso E.I.R.L.,20500203707,Chiclayo,0942625260,tiendas210@correo.pe,3000,ACTIVO
CLI00289,Importadora Campo Alegre S.R.L.,20500280337,Huancayo,+51 976867385,importadora289@correo.pe,3000,ACTIVO
CLI00309,Abarrotes El Trigal,20500299739,Cusco,+51 909996346,abarrotes309@correo.pe,0,ACTIVO
CLI00313,Tiendas Las Palmeras S.A.C.,20500303612,Tarapoto,+51 987410707,tiendas313@correo.pe,3000,INACTIVO
CLI00066,Abarrotes Buen Precio,20500064022,Chiclayo,+51 909265701,abarrotes66@correo.pe,0,ACTIVO
CLI00362,Corporación San Isidro S.A.C.,20500351145,Trujillo,932004585,corporación362@correo.pe,10000,ACTIVO
CLI00002,Autoservicio Puerto Nuevo,20500001942,Juliaca,0965888073,autoservicio2@correo.pe,10000,ACTIVO
CLI00574,Autoservicio El Trigal S.A.,20500556782,Cusco,+51 901393846,autoservicio574@correo.pe,5000,ACTIVO
CLI00345,Negocios Campo Alegre S.R.L.,20500334658,Iquitos,+51 948121152,negocios345@correo.pe,25000,ACTIVO
CLI00477,Tiendas Villa Norte,20500462699,Ica,0961504426,tiendas477@correo.pe,1500,INACTIVO
CLI00093,Minimarket Buen Precio E.I.R.L.,20500090210,Trujillo,0907199812,minimarket93@correo.pe,25000,ACTIVO
CLI00153,Abarrotes La Merced S.A.,20500148412,Cusco,941688779,abarrotes153@correo.pe,0,ACTIVO
CLI00161,Mayorista Nueva Esperanza S.R.L.,20500156172,Tarapoto,+51 955095231,mayorista161@correo.pe,0,ACTIVO
CLI00250,Distribuidora Santa Rosa,20500242508,Tarapoto,+51 919418693,distribuidora250@correo.pe,0,ACTIVO
CLI00062,Minimarket Sol de Oro S.A.C.,20500060141,Iquitos,0994540747,minimarket62@correo.pe,0,ACTIVO
CLI00523,Corporación Puerto Nuevo S.R.L.,20500507315,Arequipa,+51 902890911,corporación523@correo.pe,3000,ACTIVO
CLI00534,Market Río Verde,20500517981,Puno,985827433,market534@correo.pe,5000,ACTIVO
CLI00245,Negocios Villa Norte S.A.C.,20500237652,,+51 948575520,,25000,ACTIVO
CLI00050,Abarrotes Río Verde S.R.L.,20500048500,Chiclayo,0969853472,abarrotes50@correo.pe,3000,INACTIVO
CLI00598,Importadora El Trigal S.A.,20500580063,Tacna,0913212195,importadora598@correo.pe,1500,ACTIVO
CLI00265,Inversiones Campo Alegre S.A.,20500257050,Piura,938430671,inversiones265@correo.pe,10000,ACTIVO
